firm_id,firm_name,year,revenue,net_profit,ocf,cash,rd_expense,total_assets,total_liabilities,overseas_revenue,capacity_ton,utilization,revenue_growth,net_profit_growth,event_count,commercial_event_count,label_nqp,label_fin,rule_score
F001,凯赛生物,2024,2957911554.76,488960000.00,820929332.42,5346793890.23,233339322.82,19021477349.64,7514471854.39,955080302.91,265000,42.87,0.3991,0.3341,4,2,1,1,0.8
F002,华恒生物,2025,,,,,,,,,,,,,,0,0,0,0,0.0
F003,梅花生物,2025,,,,,,,,,,,,,,0,0,0,0,0.0
F004,保龄宝,2025,,,,,,,,,,,,,,0,0,0,0,0.0
F005,华熙生物,2025,,,,,,,,,,,,,,0,0,0,0,0.0
F006,嘉必优,2025,,,,,,,,,,,,,,0,0,0,0,0.0
F007,百龙创园,2025,,,,,,,,,,,,,,0,0,0,0,0.0
F008,晨光生物,2025,,,,,,,,,,,,,,0,0,0,0,0.0
F009,溢多利,2025,,,,,,,,,,,,,,0,0,0,0,0.0
F010,仙乐健康,2025,,,,,,,,,,,,,,0,0,0,0,0.0
F011,诺唯赞,2025,,,,,,,,,,,,,,0,0,0,0,0.0
F012,圣达生物,2025,,,,,,,,,,,,,,0,0,0,0,0.0
F013,共同药业,2025,,,,,,,,,,,,,,0,0,0,0,0.0
F014,华大智造,2025,,,,,,,,,,,,,,0,0,0,0,0.0
F015,泰林生物,2025,,,,,,,,,,,,,,0,0,0,0,0.0
